STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA+HIGH
tr075_ra12L60     0.986361    -0.166249      1.95454      0.88111557
tr025_ra12L60     0.989737    -0.316709      1.91789      0.93399940
tr12_bmj01ml60     0.997439    -0.135309     0.919154      0.93428613
OK
STATISTICS FOR VAR:Q DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.961514     -11.3467     0.546799      0.93407186
tr025_ra12L60     0.976910     -11.9890     0.472702      0.96444421
tr12_bmj01ml60     0.993505     -10.7850     0.370854      0.96681640
OK
STATISTICS FOR VAR:RH DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.784470     -18.2174      10.5847      0.90398028
tr025_ra12L60     0.856557     -19.1696      10.1566      0.93509308
tr12_bmj01ml60     0.942678     -21.3443      10.2251      0.95888934
OK
STATISTICS FOR VAR:RAIN DOMAIN:NIO PERIOD:JJAS DATA_TYPE:1m MASK:NO
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.558425      17.3381     0.828913     0.690975
tr025_ra12L60     0.780327      18.5481     0.751206     0.728013
tr12_bmj01ml60     0.637659      23.6019     0.948396     0.737350
OK
90
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.938703      26.9513     0.898435     0.370655
tr025_ra12L60_sol094     0.966419      23.3897     0.685795     0.661901
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.984972      4.40904      2.31216     0.964885
tr025_ra12L60_sol094     0.988301      3.52601      2.05353     0.958282
OK
STATISTICS FOR VAR:Q2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.969318     -17.5630      1.67448     0.884188
tr025_ra12L60_sol094     0.979955     -18.0328      1.65478     0.928271
OK
STATISTICS FOR VAR:T2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.978194     -8.11701      2.43512     0.986341
tr025_ra12L60_sol094     0.985318     -9.10914      2.24308     0.980322
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:c1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:c1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
OK
STATISTICS FOR VAR:Q2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:c1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
OK
STATISTICS FOR VAR:T2 DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:c1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:c1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:c1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.834638      13.3721      1.05386     0.364718
tr025_ra12L60     0.895722      16.0521     0.890459     0.649483
tr12_bmj01ml60     0.925371      16.8294     0.783637     0.703634
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.834638      13.3721      1.05386     0.364718
tr025_ra12L60     0.895722      16.0521     0.890459     0.649483
tr12_bmj01ml60     0.925371      16.8294     0.783637     0.703634
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.834638      0.00000
      13.3721      1.05386
     0.364718      0.00000
tr025_ra12L60     0.895722      0.00000
      16.0521     0.890459
     0.649483      0.00000
tr12_bmj01ml60     0.925371      0.00000
      16.8294     0.783637
     0.703634      0.00000
OK
STATISTICS FOR VAR:SKT DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.982879      0.00000
      5.29089      2.21870
     0.951011      0.00000
tr025_ra12L60_sol094     0.984820      0.00000
      4.20039      2.15715
     0.945568      0.00000
OK

  0.925371      0.00000
      16.8294     0.783637
     0.703634      0.00000
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60_sol094     0.793316      0.00000
      7.33137      1.15522
     0.359762      0.00000
tr025_ra12L60_sol094     0.838615      0.00000
      9.73733      1.04464
     0.676674      0.00000
OK
STATISTICS FOR VAR:RAIN DOMAIN:AIMRR PERIOD:JJAS DATA_TYPE:1m MASK:SEA
EXP CORR1D BIAS(%) RMSE CORR2D
tr075_ra12L60     0.834638      0.00000
      13.3721      1.05386
     0.364718      0.00000
